smiles,targets
CCCCCC(=O)OC,-2.49
CCCCO,-4.72
c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04
C1CCC(CC1)N,-4.59
c1ccc(cc1)OC=O,-3.82
CCC(=O)OC,-2.93
c1cc(cc(c1)Cl)Cl,-0.98
CCI,-0.74
CC(C)CC(C)(C)C,2.89
CCOCC,-1.59
C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75
c1ccc(c(c1)O)Cl,-4.55
CSc1ccccc1,-2.73
CCCI,-0.53
CC(C)Cl,-0.25
CCCCC[N+](=O)[O-],-2.82
C1CCCC(CC1)O,-5.48
CC(C)(C)C,2.51
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64
CCCCOCCCC,-0.83
CCOP(=O)(OCC)OCC,-7.5
C(C(Cl)Cl)Cl,-1.99
COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88
CCCCN(CC)C(=O)SCCC,-3.64
Cc1cc(cnc1)C,-4.84
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-5.22
C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01
Cc1cccc(c1)C,-0.83
Cc1ccc(cc1)C(C)C,-0.68
c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.56
CCCCCCCC(=O)C,-2.49
Cc1ccncc1,-4.93
C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-8.42
CCCCS,-0.99
Cc1cccc(c1C)O,-6.16
CCCCCC(=O)OCC,-2.23
CC(C)OC(C)C,-0.53
CO,-5.1
CC(C)(C)O,-4.47
C1COCCN1,-7.17
CCC=C,1.38
CCCCC#C,0.29
CS(=O)(=O)C,-10.08
COC=O,-2.78
CCCC(=O)OCC,-2.49
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.43
c1ccc(cc1)C(=O)N,-11.0
c1ccc2c(c1)Oc3ccccc3O2,-3.15
c1cc(ccc1O)Br,-5.85
CCCCCC(=O)O,-6.21
CCOC(=O)CCC(=O)OCC,-5.71
Cc1cccc(c1O)C,-5.26
Cc1ccccc1Cl,-1.14
COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03
CC(C)(C)C(=O)OC,-2.4
C(CBr)Br,-2.33
CCS,-1.14
CCC(C)C,2.38
Cc1c[nH]c2c1cccc2,-5.88
CCCCCC=O,-2.81
C(C(F)(Cl)Cl)(F)(F)Cl,1.77
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5
c1c(cc(c(c1Cl)Cl)Cl)Cl,-1.62
C(CCl)Cl,-1.79
c1ccc(cc1)CCO,-6.79
CCCS,-1.1
Cc1ccccc1,-0.9
CCC(=O)CC,-3.41
CCCC(=O)C,-3.52
C(C(Cl)(Cl)Cl)Cl,-1.43
CCCCCCCl,0.0
C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52
CCCC(=C)C,1.47
CC[C@H](C)O,-4.62
c1ccc(cc1)CBr,-2.38
COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19
CCCC,2.1
S,-0.7
CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73
CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34
C[N+](=O)[O-],-4.02
CC(=O)NC,-10.0
CC=O,-3.5
CC(=O)C1CC1,-4.61
CCCCCCCCC=O,-2.07
CCCCl,-0.33
Cc1cc(cc(c1)C)C,-0.9
c1ccc(cc1)c2ccccc2,-2.7
CC,1.83
[C@@H](C(F)(F)F)(OC(F)F)Cl,0.1
CC(=O)C1CCCCC1,-3.9
CCSC,-1.5
c1ccc(cc1)O,-6.6
CCC,2.0
C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O,-7.0
C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,-10.78
CC(C)I,-0.46
c1cc(ccc1C#N)O,-10.17
CCc1ccccc1O,-5.66
CC(C)C=C,1.83
C=O,-2.75
CCCCCCl,-0.1
CC[C@H](C)c1ccccc1,-0.45
CCCCCCCCCC,3.16
CCCl,-0.63
CCC(C)CC,2.51
CC(C)CO,-4.5
c1cc2cccc3c2c(c1)CC3,-3.15
C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-10.21
COC(OC)OC,-4.42
CCOC=O,-2.56
COC(=O)c1ccc(cc1)O,-9.51
CCO,-5.0
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21
CCCCCC1CCCC1,2.55
CCCCC(=O)OC,-2.56
CCc1cccc(c1)O,-6.25
CCCCOC(=O)C,-2.64
Cc1ccncc1C,-5.22
CCCC(=O)CCC,-2.92
CCOC(=O)CC(=O)OCC,-6.0
CCN,-4.5
CCCOC,-1.66
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-11.85
c1ccc(cc1)C#N,-4.1
COc1cccc(c1)O,-7.66
C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45
c1ccc(cc1)CCl,-1.93
CCCCC(=O)C,-3.28
c1ccc(c(c1)Cl)Cl,-1.36
C(C(Cl)(Cl)Cl)(Cl)Cl,-1.23
C=C(Cl)Cl,0.25
CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.45
CCCCCCCBr,0.34
CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74
c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.43
CCCC(C)(C)C,2.88
c1cc2ccc3cccc4c3c2c(c1)cc4,-4.52
CCCCCCOC(=O)C,-2.26
CCC(C)(C)CC,2.56
COc1ccccc1OC,-5.33
C(CO[N+](=O)[O-])CO[N+](=O)[O-],-4.8
Cc1ccc(cc1)C(=O)N(C)C,-9.76
c1cc(cc(c1)O)C#N,-9.65
c1c(cc(cc1Cl)Cl)Cl,-0.78
C1CCCCC1,1.23
CC(C)Cc1cnccn1,-5.04
CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-7.98
CC(=O)N1CCCC1,-9.8
c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72
c1cc(ccc1[N+](=O)[O-])O,-10.64
CCOc1ccccc1,-2.22
CN1CCNCC1,-7.77
c1ccc2c(c1)C(=O)NC2=O,-9.61
C1CC1,0.75
c1cc(cnc1)Cl,-4.01
CCC/C=C/C=O,-3.68
CCCCBr,-0.4
c1ccc2ccccc2c1,-2.4
c1cc[nH]c1,-4.78
c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-3.84
c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-3.37
c1ccc(c(c1)C=O)O,-4.68
C=Cc1ccccc1,-1.24
CCC[C@@H](C)O,-4.39
CC(C)CO[N+](=O)[O-],-1.88
CC(=O)Oc1ccccc1C(=O)O,-9.94
CCc1ccc(cc1)O,-6.13
Cc1ccc(cc1)O,-6.13
CC(C)CC(=O)O,-6.09
CCCNCCC,-3.65
c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.71
c1ccncc1,-4.69
c1ccc2c(c1)Cc3ccccc3C2,-3.78
c1ccsc1,-1.4
CC(=C)C,1.16
C(Cl)(Cl)Cl,-1.08
C(C(F)(F)F)O,-4.31
CC=C,1.32
CC(=O)O,-6.69
CCc1ccccc1C,-0.85
CCNc1nc(nc(n1)SC)NC(C)C,-7.65
c1ccccc1,-0.9
CC(C)CCC(C)(C)C,2.93
COCOC,-2.93
Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl,-11.14
CCCO,-4.85
Cc1ccc(c(c1)O)C,-5.91
CCCCCCCCCCO,-3.64
CCCCCCCC,2.88
c1ccc(c(c1)N)Cl,-4.91
Cc1ccc(c(c1)C)C,-0.86
Cc1ccccc1N,-5.53
Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,-9.41
C[C@@H](CO[N+](=O)[O-])O[N+](=O)[O-],-4.95
C1CCC=CC1,0.14
Cc1ccc(cc1)C,-0.8
C(C(CO)O)O,-13.43
c1ccc2cc(ccc2c1)N,-7.47
COc1cc(c(c(c1O)OC)Cl)C=O,-7.78
CN(CC(F)(F)F)c1ccccc1,-1.92
CC(C)OC,-2.01
c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17
CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-6.23
CCCCC(=O)CCCC,-2.64
C1CC[S+2](C1)([O-])[O-],-8.61
COC(c1ccccc1)(OC)OC,-4.04
CCCc1ccc(c(c1)OC)O,-5.26
CC(F)F,-0.11
c1c(c(=O)[nH]c(=O)[nH]1)F,-16.92
CCCCCCCCCO,-3.88
C1CCOCC1,-3.12
c1ccc(cc1)I,-1.74
CCCC(C)(C)O,-3.92
C(F)Cl,-0.77
Cc1cccc(c1C)C,-1.21
Cc1ccc(cc1)C(=O)C,-4.7
COc1ccccc1O,-5.94
CC(=O)OCCOC(=O)C,-6.34
CCCCCc1ccccc1,-0.23
CCCCCCO,-4.4
CCCCCOC(=O)CC,-2.11
CCCCCC(=O)C,-3.04
COC(CCl)(OC)OC,-4.59
CCCCCCCCO,-4.09
CCCCCl,-0.16
c1ccc2cc(ccc2c1)O,-8.11
C1CCC(=O)CC1,-4.91
CCOC(C)OCC,-3.28
CCCC(=O)OCCC,-2.28
CCCCCCCC=C,2.06
Cc1ccc(c2c1cccc2)C,-2.82
C1=CC(=O)C=CC1=O,-6.5
CCCCCBr,-0.1
CC(=C)c1ccccc1,-1.24
